Precinct,Seby_Primary_Votes,Julio_Primary_Votes,Runoff_Early_Votes,Seby_TwoWay_Pct,Julio_TwoWay_Pct,Seby_Est_Runoff,Julio_Est_Runoff
73,229,127,158.0,64.3%,35.7%,101.6,56.4
96,213,132,153.0,61.7%,38.3%,94.5,58.5
200,155,130,138.0,54.4%,45.6%,75.1,62.9
62,240,95,134.0,71.6%,28.4%,96.0,38.0
13,224,290,132.0,43.6%,56.4%,57.5,74.5
199,186,151,132.0,55.2%,44.8%,72.9,59.1
134,186,96,127.0,66.0%,34.0%,83.8,43.2
207,149,136,126.0,52.3%,47.7%,65.9,60.1
81,142,162,125.0,46.7%,53.3%,58.4,66.6
105,152,260,97.0,36.9%,63.1%,35.8,61.2
136,109,123,87.0,47.0%,53.0%,40.9,46.1
8,151,78,71.0,65.9%,34.1%,46.8,24.2
124,100,99,70.0,50.3%,49.7%,35.2,34.8
54,172,109,70.0,61.2%,38.8%,42.8,27.2
161,108,120,66.0,47.4%,52.6%,31.3,34.7
72,69,70,64.0,49.6%,50.4%,31.8,32.2
188,58,136,64.0,29.9%,70.1%,19.1,44.9
6,114,178,62.0,39.0%,61.0%,24.2,37.8
135,91,85,57.0,51.7%,48.3%,29.5,27.5
164,105,128,53.0,45.1%,54.9%,23.9,29.1
107,110,188,49.0,36.9%,63.1%,18.1,30.9
216,70,92,47.0,43.2%,56.8%,20.3,26.7
162,87,23,44.0,79.1%,20.9%,34.8,9.2
221,82,99,44.0,45.3%,54.7%,19.9,24.1
206,72,86,43.0,45.6%,54.4%,19.6,23.4
65,95,150,42.0,38.8%,61.2%,16.3,25.7
116,115,166,38.0,40.9%,59.1%,15.6,22.4
150,61,69,38.0,46.9%,53.1%,17.8,20.2
74,43,97,36.0,30.7%,69.3%,11.1,24.9
201,102,81,29.0,55.7%,44.3%,16.2,12.8
240,51,57,22.0,47.2%,52.8%,10.4,11.6
211,37,34,20.0,52.1%,47.9%,10.4,9.6
167,31,39,20.0,44.3%,55.7%,8.9,11.1
139,21,24,13.0,46.7%,53.3%,6.1,6.9
166,14,28,12.0,33.3%,66.7%,4.0,8.0
224,44,5,11.0,89.8%,10.2%,9.9,1.1
67,272,151,11.0,64.3%,35.7%,7.1,3.9
223,44,30,10.0,59.5%,40.5%,5.9,4.1
231,8,23,8.0,25.8%,74.2%,2.1,5.9
256,15,17,8.0,46.9%,53.1%,3.8,4.2
160,14,13,8.0,51.9%,48.1%,4.1,3.9
83,229,317,8.0,41.9%,58.1%,3.4,4.6
138,7,15,7.0,31.8%,68.2%,2.2,4.8
47,57,72,7.0,44.2%,55.8%,3.1,3.9
141,15,19,6.0,44.1%,55.9%,2.6,3.4
49,122,173,6.0,41.4%,58.6%,2.5,3.5
129,6,9,4.0,40.0%,60.0%,1.6,2.4
66,78,62,3.0,55.7%,44.3%,1.7,1.3
34,54,58,3.0,48.2%,51.8%,1.4,1.6
208,2,6,3.0,25.0%,75.0%,0.8,2.2
97,110,155,2.0,41.5%,58.5%,0.8,1.2
148,5,4,2.0,55.6%,44.4%,1.1,0.9
26,36,43,1.0,45.6%,54.4%,0.5,0.5
27,29,41,1.0,41.4%,58.6%,0.4,0.6
60,116,228,1.0,33.7%,66.3%,0.3,0.7
37,59,48,1.0,55.1%,44.9%,0.6,0.4
84,38,65,1.0,36.9%,63.1%,0.4,0.6
7,222,159,1.0,58.3%,41.7%,0.6,0.4
246,0,0,0.0,50.0%,50.0%,0.0,0.0
252,0,0,0.0,50.0%,50.0%,0.0,0.0
80,0,0,0.0,50.0%,50.0%,0.0,0.0
18,112,97,0.0,53.6%,46.4%,0.0,0.0
144,2,0,0.0,100.0%,0.0%,0.0,0.0
38,173,270,0.0,39.1%,60.9%,0.0,0.0
140,3,3,0.0,50.0%,50.0%,0.0,0.0
258,0,2,0.0,0.0%,100.0%,0.0,0.0
