Precinct,Primary_Total_Votes,Runoff_Early_Votes,Retention_Rate_%
13,709,132.0,18.62
83,701,8.0,1.14
38,571,0.0,0.0
105,534,97.0,18.16
67,522,11.0,2.11
199,517,132.0,25.53
96,482,153.0,31.74
73,482,158.0,32.78
7,472,1.0,0.21
62,453,134.0,29.58
81,429,125.0,29.14
207,416,126.0,30.29
200,415,138.0,33.25
60,396,1.0,0.25
107,391,49.0,12.53
49,375,6.0,1.6
6,371,62.0,16.71
54,370,70.0,18.92
134,369,127.0,34.42
116,341,38.0,11.14
97,335,2.0,0.6
65,317,42.0,13.25
164,304,53.0,17.43
161,302,66.0,21.85
136,285,87.0,30.53
8,277,71.0,25.63
18,271,0.0,0.0
188,254,64.0,25.2
124,251,70.0,27.89
135,245,57.0,23.27
221,230,44.0,19.13
201,227,29.0,12.78
216,225,47.0,20.89
206,225,43.0,19.11
72,200,64.0,32.0
74,197,36.0,18.27
66,192,3.0,1.56
150,180,38.0,21.11
47,157,7.0,4.46
34,150,3.0,2.0
84,149,1.0,0.67
162,141,44.0,31.21
240,136,22.0,16.18
37,131,1.0,0.76
26,99,1.0,1.01
223,98,10.0,10.2
211,92,20.0,21.74
167,91,20.0,21.98
27,86,1.0,1.16
166,67,12.0,17.91
139,60,13.0,21.67
224,54,11.0,20.37
141,48,6.0,12.5
231,42,8.0,19.05
256,41,8.0,19.51
138,35,7.0,20.0
160,35,8.0,22.86
129,26,4.0,15.38
148,11,2.0,18.18
208,8,3.0,37.5
140,6,0.0,0.0
144,2,0.0,0.0
258,2,0.0,0.0
80,0,0.0,
246,0,0.0,
252,0,0.0,
