Year,Election Cycle,Registered Voters,Source URL
2024,Primary Election,431335,https://www.hidalgocounty.us/DocumentCenter/View/66704/Precinct-Results-3-13-2024-09-06-07-AM-DEMS
2022,Primary Election,405377,https://www.hidalgocounty.us/DocumentCenter/View/57930/DEM-Precinct-Results-3-9-2022-03-06-25-PM
2020,Primary Election,379658,https://www.hidalgocounty.us/DocumentCenter/View/36503/DEM-Precinct-Results-3-10-2020-14-41-54-PM
2018,Primary Election,349735,https://www.hidalgocounty.us/DocumentCenter/View/29880
2016,Primary Election,317730,https://www.hidalgocounty.us/DocumentCenter/View/22047
2014,Primary Election,309275,https://www.hidalgocounty.us/DocumentCenter/View/18176
2012,Primary Election,293523,https://www.hidalgocounty.us/DocumentCenter/Home/View/14372
2008,Primary Election,291301,https://www.hidalgocounty.us/DocumentCenter/Home/View/990
2006,Primary Election,271132,https://www.hidalgocounty.us/DocumentCenter/Home/View/963
2024,General Election,447359,https://www.hidalgocounty.us/DocumentCenter/View/69097/Precinct-Results-11-05-2024
2022,General Election,418169,https://www.hidalgocounty.us/DocumentCenter/View/61539/Precinct-Results-11-16-2022-02-11-11-PM
2020,General Election,392604,https://www.hidalgocounty.us/DocumentCenter/View/42882/County-Precinct-Results-11-13-2020-12-19-54-PM
2018,General Election,362952,https://www.hidalgocounty.us/DocumentCenter/View/32223/Precinct-Results-11-15-2018-14-00-27-PM
2016,General Election,338990,https://www.hidalgocounty.us/DocumentCenter/View/23739
2014,General Election,321564,https://www.hidalgocounty.us/DocumentCenter/View/19489
2012,General Election,307186,https://www.hidalgocounty.us/DocumentCenter/View/16887
2010,General Election,297602,https://www.hidalgocounty.us/DocumentView.aspx?DID=4485
2008,General Election,284144,https://www.hidalgocounty.us/DocumentView.asp?DID=1251
