POLLING LOCATIONS,,Mon.,Tues.,Wed.,Thurs.,Fri.,Sat.,Sun.,Mon.,Tues.,Wed.,Thurs.,Fri.,,
,,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,1-Nov,,Total
1,Sgt. Fernando De La Rosa Library,871,772,645,638,663,334,159,530,526,459,431,838,,6866
2,Alton Recreation Center,418,398,367,328,342,214,100,339,298,291,303,560,,3958
3,Amigos Del Valle,797,608,592,488,537,390,178,443,368,397,347,719,,5864
4,Sgt. Rodriguez Community Center,241,181,154,84,107,98,28,78,70,77,54,199,,1371
5,San Carlos Endowment Center,291,253,227,214,239,153,71,190,196,225,194,387,,2640
6,Edinburg Conference Center at Renaissance,708,595,645,594,544,352,167,498,410,488,425,901,,6327
7,Elections Annex Building,1383,1305,1349,1331,1320,1038,533,1140,1104,1054,1006,1455,,14018
8,UTRGV,939,1019,999,983,956,829,459,943,903,947,973,1171,,11121
9,Elsa Municipal Court,550,446,371,384,324,370,89,320,241,246,204,365,,3910
10,Granjeno Public Facility,78,74,64,47,63,25,23,43,33,45,41,58,,594
11,Hidalgo Public Library,170,145,149,142,147,145,81,138,131,149,165,263,,1825
12,La Joya Youth Center,128,164,157,103,168,125,40,122,142,154,143,297,,1743
13,La Villa Multi-Purpose Building,77,54,49,37,40,49,20,43,41,27,42,106,,585
14,Fireman's Pumphouse,1017,1028,928,786,785,475,206,586,498,518,488,771,,8086
15,Palm View Community Center,411,388,320,349,307,203,86,250,287,257,263,469,,3590
16,Hidalgo Co. Water Improvement Dist. #3,199,218,284,213,206,121,50,162,186,189,169,309,,2306
17,STC Pecan Campus,489,415,404,335,327,211,110,322,353,335,304,499,,4104
18,Lark Community Center,1614,1491,1389,1339,1370,1175,578,1230,1125,1073,1064,1324,,14772
19,STC Nursing Campus,294,232,197,194,185,104,56,174,180,168,149,288,,2221
20,Mercedes Civic Center,687,479,385,281,422,292,91,321,330,269,271,521,,4349
21,Mission Parks & Recreation Center,1015,941,920,801,802,516,232,715,634,665,621,935,,8797
22,Bannworth Gym,1154,915,843,768,782,602,246,602,601,650,639,931,,8733
23,Pct. 3 Field Operations Office,17,14,25,26,25,15,14,27,31,17,32,59,,302
24,Monte Alto Community Center,45,46,28,36,31,31,10,24,35,38,52,85,,461
25,Pct. 3 The Mansion,383,332,309,316,334,240,88,359,347,321,324,534,,3887
26,Palmview Recreation Center,199,184,181,167,162,123,48,201,208,220,158,321,,2172
27,Jose Pepe Salinas Center,1084,781,697,648,697,501,207,549,523,520,427,776,,7410
28,Development & Research Center,308,239,222,194,241,223,114,224,218,249,235,484,,2951
29,Valley View ISD Staff Development Center,156,123,144,116,99,152,87,96,98,93,78,215,,1457
30,Progreso Community Center,214,170,143,152,119,123,86,111,86,95,124,227,,1650
31,San Juan Memorial Library,853,679,634,556,728,531,214,496,540,520,569,888,,7208
32,Sullivan City WIC Clinic,62,53,55,61,73,53,30,46,44,53,71,98,,699
33,Business Visitor & Event Center,1406,1253,1318,1170,1206,827,468,1146,1018,1038,975,1482,,13307
,Sub Total,18258,15995,15194,13881,14351,10640,4969,12468,11805,11847,11341,18535,,159284
,Mail,3016,177,418,291,389,127,0,240,89,225,122,270,,5364
,Total,21274,16172,15612,14172,14740,10767,4969,12708,11894,12072,11463,18805,,164648
